age,monthly_income_ksh,loan_amount_ksh,loan_tenure_months,num_dependants,credit_score,num_prev_loans,num_late_payments,mobile_money_score,county,employment_type,education_level,has_collateral,has_insurance,loan_default
53,56292.0,7204,18,1,683.0,5.0,1,49.4,Thika,Self-employed,Secondary,0,0,0
30,7142.0,74078,12,6,642.0,9.0,0,98.0,Meru,Unemployed,University,0,0,1
49,12248.0,3729,18,4,489.0,8.0,0,100.0,Nakuru,Unemployed,Primary,0,0,0
24,55195.0,45702,1,1,599.0,3.0,1,,Eldoret,Formal,Secondary,0,0,0
39,7169.0,29994,1,5,603.0,5.0,1,58.6,Eldoret,Formal,Tertiary,1,0,0
45,87430.0,1591,18,3,614.0,4.0,0,64.9,Kisumu,Unemployed,Secondary,0,0,0
19,19339.0,86443,18,0,380.0,0.0,3,34.5,Mombasa,Informal,Tertiary,0,1,0
59,5000.0,6331,12,4,650.0,5.0,2,50.9,Nyeri,Formal,Tertiary,0,0,0
62,59200.0,2075,18,0,493.0,8.0,2,72.4,Kakamega,Self-employed,Primary,0,0,0
23,16366.0,35358,3,4,514.0,2.0,0,31.5,Meru,Formal,Tertiary,0,0,0
45,26166.0,24529,1,7,,2.0,3,54.0,Kakamega,Formal,Secondary,0,0,0
45,5000.0,19205,1,6,580.0,1.0,1,98.9,Meru,Self-employed,Secondary,0,0,0
61,5000.0,3391,24,0,511.0,3.0,0,56.9,Eldoret,Formal,University,0,0,0
61,35562.0,13020,18,3,329.0,9.0,4,80.7,Meru,Formal,University,0,0,0
37,25338.0,30333,6,6,688.0,2.0,3,71.3,Nakuru,Formal,Secondary,0,1,0
47,31509.0,7237,6,6,415.0,1.0,4,53.8,Mombasa,Informal,Tertiary,0,0,0
28,55252.0,7470,18,7,449.0,0.0,4,56.9,Kisumu,Formal,Secondary,0,1,0
45,36406.0,1000,3,4,516.0,2.0,0,63.3,Nairobi,Informal,Tertiary,0,0,0
42,6723.0,3829,6,2,691.0,9.0,3,19.0,Eldoret,Informal,University,0,0,0
56,15662.0,41653,24,0,627.0,5.0,4,78.9,Nairobi,Self-employed,Secondary,1,0,0
50,82715.0,11658,18,0,534.0,8.0,3,57.6,Nairobi,Formal,University,1,1,0
18,51430.0,82998,3,1,580.0,4.0,2,79.6,Machakos,Self-employed,Secondary,0,0,0
44,28467.0,10073,3,4,489.0,2.0,4,67.8,Mombasa,Formal,Secondary,1,1,0
30,10333.0,25118,12,5,563.0,4.0,4,56.7,Nyeri,Self-employed,University,0,1,0
58,12586.0,6623,3,2,557.0,4.0,3,64.0,Thika,Informal,Tertiary,0,1,1
20,46081.0,9045,6,3,646.0,4.0,2,,Nakuru,Formal,Secondary,0,0,0
56,66674.0,4232,6,1,646.0,6.0,4,89.5,Meru,Self-employed,Tertiary,0,1,0
23,38954.0,8525,18,7,599.0,4.0,0,61.3,Kakamega,Formal,Secondary,0,1,0
25,58039.0,15847,18,2,513.0,6.0,3,65.8,Nyeri,Formal,Secondary,1,0,0
44,50933.0,96006,3,4,624.0,8.0,3,34.8,Kakamega,Informal,University,1,1,0
26,5675.0,21824,24,2,540.0,4.0,4,59.1,Kisumu,Self-employed,Tertiary,0,1,1
54,19304.0,4444,1,7,441.0,1.0,2,89.1,Kisumu,Formal,University,0,0,0
50,5811.0,1000,12,6,509.0,4.0,4,68.6,Nakuru,Formal,Secondary,0,0,0
59,9386.0,2701,1,0,558.0,7.0,1,38.4,Meru,Formal,Tertiary,0,0,0
61,71208.0,16536,3,6,641.0,3.0,4,40.5,Meru,Informal,University,1,0,0
41,22412.0,28977,3,0,531.0,1.0,1,45.2,Eldoret,Informal,Secondary,1,0,0
32,26827.0,56408,1,1,429.0,,0,80.0,Meru,Formal,Secondary,1,0,0
49,6879.0,1000,12,7,,,3,77.5,Thika,Formal,Tertiary,1,0,0
49,13102.0,14794,1,4,561.0,8.0,3,0.0,Nyeri,Informal,Secondary,0,0,0
41,9158.0,12730,18,4,568.0,8.0,2,58.4,Nyeri,Self-employed,Secondary,0,1,0
58,8081.0,21345,6,2,641.0,7.0,4,63.0,Kakamega,Self-employed,University,0,0,0
29,35560.0,16400,24,1,651.0,7.0,0,40.8,Machakos,Self-employed,University,0,1,0
56,10391.0,23233,18,4,490.0,,1,52.2,Nakuru,Formal,Tertiary,1,0,0
19,34990.0,21463,6,5,488.0,7.0,2,86.6,Nakuru,Unemployed,Tertiary,0,1,0
20,5000.0,2488,24,5,445.0,7.0,0,68.2,Thika,Formal,University,0,1,0
54,5351.0,32160,24,6,619.0,0.0,0,50.0,Meru,Unemployed,Tertiary,1,0,0
34,11233.0,2630,24,0,694.0,5.0,1,56.3,Machakos,Formal,Primary,1,0,0
19,31812.0,23981,3,2,,8.0,1,55.4,Eldoret,Informal,Secondary,0,0,0
19,39428.0,10762,24,3,525.0,7.0,3,65.6,Eldoret,Informal,Primary,1,1,1
45,20463.0,14424,12,7,696.0,2.0,4,31.4,Nyeri,Informal,Primary,0,1,0
40,20657.0,46722,1,0,600.0,0.0,2,46.6,Thika,Self-employed,Secondary,0,0,0
54,45123.0,44124,12,1,593.0,1.0,4,80.7,Nairobi,Self-employed,Secondary,0,0,0
49,5000.0,34059,1,4,430.0,1.0,2,58.5,Nairobi,Unemployed,Secondary,0,0,1
50,14600.0,14273,18,0,617.0,6.0,0,43.0,Meru,Informal,Primary,0,0,0
18,59767.0,26654,18,3,457.0,5.0,1,43.8,Nyeri,Informal,Tertiary,0,1,0
36,32353.0,14385,1,3,436.0,1.0,1,74.4,Thika,Formal,Secondary,1,0,0
19,14396.0,40743,12,5,515.0,7.0,0,49.6,Nairobi,Unemployed,Tertiary,1,1,0
61,82579.0,10309,1,1,491.0,8.0,0,70.2,Mombasa,Informal,Primary,0,1,0
43,51840.0,70288,24,0,527.0,6.0,2,47.5,Kakamega,Self-employed,University,1,1,0
49,10770.0,53860,3,2,405.0,3.0,0,37.4,Kisumu,Informal,University,0,0,0
23,36275.0,27065,18,0,645.0,0.0,2,64.9,Kakamega,Informal,Tertiary,0,0,0
49,31700.0,6553,3,5,662.0,3.0,4,58.1,Kisumu,Unemployed,Tertiary,1,0,0
21,17948.0,2823,24,6,355.0,3.0,1,73.7,Mombasa,Formal,University,0,1,1
28,16002.0,38579,24,3,647.0,7.0,1,77.7,Mombasa,Formal,Secondary,0,0,0
34,14732.0,3613,18,1,468.0,3.0,1,52.8,Thika,Formal,University,1,0,0
55,33604.0,38518,18,1,635.0,3.0,4,67.0,Machakos,Self-employed,Tertiary,0,1,0
41,20444.0,13496,24,2,,1.0,4,52.2,Nakuru,Formal,Tertiary,1,0,0
22,62404.0,10436,6,1,552.0,,3,,Nairobi,Formal,Secondary,0,0,0
51,38761.0,46700,3,5,531.0,6.0,2,64.7,Thika,Formal,Tertiary,0,0,0
23,5000.0,18519,3,5,671.0,3.0,2,47.5,Machakos,Informal,Tertiary,0,0,0
39,35774.0,17189,6,5,426.0,5.0,3,45.8,Nakuru,Informal,Tertiary,0,0,0
28,11069.0,16363,12,1,610.0,2.0,1,65.4,Thika,Formal,Tertiary,0,0,0
33,31446.0,9277,3,1,660.0,6.0,2,83.2,Meru,Unemployed,Primary,1,1,0
50,39894.0,30802,1,5,621.0,5.0,2,78.0,Nakuru,Unemployed,Secondary,0,1,0
26,9185.0,5828,24,1,782.0,2.0,1,41.1,Kakamega,Formal,Secondary,0,0,0
23,,55903,24,7,497.0,3.0,0,43.2,Nakuru,Self-employed,Secondary,0,1,0
33,7389.0,44883,6,1,645.0,9.0,0,46.2,Kakamega,Informal,Secondary,0,0,1
46,5000.0,8234,3,7,539.0,4.0,3,48.1,Eldoret,Formal,Primary,1,0,0
20,16645.0,26146,12,3,673.0,,4,23.7,Kisumu,Formal,Secondary,1,1,0
37,15781.0,17029,3,0,549.0,5.0,2,75.8,Kakamega,Informal,Secondary,1,0,0
53,,8239,24,4,511.0,3.0,2,,Mombasa,Informal,Primary,0,0,0
36,,89345,18,7,680.0,6.0,3,69.2,Meru,Formal,University,0,0,0
43,14203.0,1000,1,7,500.0,,3,53.7,Nairobi,Self-employed,Tertiary,0,0,0
20,30402.0,5824,6,1,408.0,3.0,2,59.5,Eldoret,Informal,Tertiary,1,0,0
36,5000.0,14682,18,4,498.0,4.0,1,46.3,Eldoret,Self-employed,Secondary,0,1,1
37,114149.0,14760,12,6,611.0,3.0,1,59.4,Nyeri,Formal,Tertiary,0,0,0
49,35271.0,17779,18,4,689.0,3.0,4,42.6,Thika,Informal,Tertiary,0,1,0
24,49204.0,27860,18,3,561.0,8.0,2,59.6,Thika,Formal,University,1,0,0
58,6541.0,19535,12,7,681.0,1.0,2,89.1,Thika,Informal,Tertiary,1,0,0
50,18436.0,18339,18,1,414.0,5.0,2,70.4,Nakuru,Self-employed,Tertiary,1,0,0
57,19228.0,1099,6,5,505.0,7.0,2,65.8,Nairobi,Self-employed,University,0,0,0
56,60370.0,9449,24,4,521.0,7.0,3,33.6,Kisumu,Informal,Secondary,1,1,0
35,5000.0,5280,3,1,538.0,6.0,0,71.3,Kakamega,Self-employed,Primary,0,0,0
57,12526.0,6167,18,2,558.0,9.0,2,73.3,Thika,Unemployed,Tertiary,1,0,0
18,139154.0,16163,6,6,619.0,3.0,0,65.4,Eldoret,Informal,Primary,1,0,0
28,22544.0,4450,3,5,505.0,6.0,1,64.3,Kakamega,Formal,Primary,1,0,1
45,16874.0,6961,3,2,563.0,9.0,4,57.2,Nairobi,Self-employed,Tertiary,1,0,0
42,5000.0,5412,18,2,545.0,5.0,1,73.0,Eldoret,Formal,Secondary,0,0,0
40,127960.0,59324,6,4,457.0,5.0,2,87.9,Mombasa,Self-employed,Tertiary,0,0,0
48,5000.0,57887,24,2,538.0,1.0,1,66.6,Nairobi,Informal,University,0,0,1
47,46770.0,18829,18,3,535.0,7.0,3,40.6,Nakuru,Informal,Secondary,0,1,0
59,51226.0,51678,12,3,533.0,,0,42.1,Thika,Formal,Secondary,0,0,0
52,9774.0,30818,3,4,553.0,6.0,2,74.5,Machakos,Informal,Primary,0,1,0
24,38968.0,17829,18,1,557.0,8.0,3,40.7,Meru,Unemployed,Primary,1,0,0
33,5000.0,1000,3,0,506.0,7.0,0,64.0,Eldoret,Formal,Primary,0,0,1
43,10399.0,29613,6,1,677.0,8.0,3,53.1,Nyeri,Informal,Primary,1,0,0
19,54274.0,24246,1,1,433.0,8.0,1,38.6,Nyeri,Unemployed,Secondary,1,0,0
18,70005.0,19103,18,1,477.0,5.0,2,76.6,Meru,Informal,Secondary,0,0,0
29,32820.0,28577,24,1,827.0,1.0,1,74.1,Kisumu,Informal,Tertiary,0,0,0
22,24742.0,14386,18,5,446.0,6.0,4,32.9,Kisumu,Informal,University,0,0,0
54,6073.0,24353,3,0,414.0,2.0,2,69.6,Meru,Informal,Tertiary,1,1,0
49,5000.0,54720,6,5,623.0,6.0,1,66.7,Machakos,Formal,Tertiary,0,1,1
26,5000.0,9425,12,2,342.0,8.0,2,76.7,Nakuru,Formal,Primary,0,1,0
58,9027.0,24628,24,6,526.0,,0,63.3,Nairobi,Informal,Tertiary,1,0,0
52,,12913,6,1,764.0,9.0,2,88.5,Machakos,Unemployed,Secondary,0,0,0
36,16782.0,22441,18,6,395.0,1.0,2,57.5,Kakamega,Formal,Primary,1,0,0
33,14879.0,28784,12,3,351.0,5.0,0,54.6,Thika,Formal,University,0,0,0
20,9561.0,1000,6,4,400.0,5.0,1,40.5,Kisumu,Informal,Secondary,1,0,0
37,24947.0,20803,1,4,639.0,8.0,2,41.3,Eldoret,Self-employed,Secondary,1,0,0
41,61061.0,5142,24,5,662.0,8.0,3,39.5,Kisumu,Formal,University,1,0,0
50,11483.0,22175,3,5,498.0,4.0,2,64.4,Nyeri,Self-employed,University,0,1,0
41,,12634,6,3,618.0,4.0,1,54.6,Eldoret,Formal,Secondary,0,1,0
28,72317.0,29704,6,1,689.0,8.0,0,66.6,Kakamega,Unemployed,Secondary,1,0,0
25,6175.0,2634,1,6,728.0,7.0,1,35.8,Kakamega,Informal,Tertiary,0,0,0
53,54007.0,19687,18,7,525.0,6.0,4,42.9,Thika,Self-employed,Tertiary,0,1,0
55,29914.0,6527,24,6,319.0,7.0,2,42.5,Mombasa,Informal,Primary,1,0,0
57,29261.0,38344,24,0,467.0,5.0,2,100.0,Nyeri,Self-employed,Tertiary,0,0,0
37,17360.0,52728,3,2,507.0,2.0,0,56.7,Meru,Formal,University,0,0,0
